Collection,Code,Product Varitation,Product group,Design Variation,Species,Grade,Construction,Profile,Texture,Finish,Edge,Certification
SUPERFINE,NAUTI011,Volute Extra Wide Plank,Volute,Extra Wide Plank ,European Oak,Superprime,2Ply Engineered,Tongue & Grooved & Ends Matched,Brushed,Burnished Hardwax Oil Matt,Micro Bevel, FSC® Mix Credit
SUPERFINE,NAUTI011.15m-22,Volute Extra Wide Plank,Volute,Extra Wide Plank ,European Oak,Superprime,2Ply Engineered,Tongue & Grooved & Ends Matched,Brushed,Burnished Hardwax Oil Matt,Micro Bevel,FSC® 100%
SUPERFINE,NAUTI011.15m-26,Volute Extra Wide Plank,Volute,Extra Wide Plank ,European Oak,Superprime,2Ply Engineered,Tongue & Grooved & Ends Matched,Brushed,Burnished Hardwax Oil Matt,Micro Bevel,FSC® 100%
SUPERWIDE,RESBL01,Ebony Oversize Herringbone,Ebony,Oversize Herringbone  ,European Oak,Nature ,2Ply Engineered,Grooved 3 Sides,Brushed,Burnished Hardwax Oil Satin,Micro Bevel, FSC® Mix Credit
SUPERWIDE,RES101,Ebony Super Wide Plank ,Ebony,Super Wide Plank,European Oak,Nature,2Ply Engineered,Tongue & Grooved & Ends Matched,Brushed,Burnished Hardwax Oil Satin,Micro Bevel,100% PEFC Certified
SUPERWIDE,RESBL07,Ecru Oversize Herringbone,Ecru,Oversize Herringbone  ,European Oak,Nature ,2Ply Engineered,Grooved 3 Sides,Brushed,Burnished Hardwax Oil Matt,Micro Bevel, FSC® Mix Credit
SUPERWIDE,RES107,Ecru Super Wide Plank ,Ecru,Super Wide Plank,European Oak,Nature,2Ply Engineered,Tongue & Grooved & Ends Matched,Brushed,Burnished Hardwax Oil Matt,Micro Bevel,100% PEFC Certified
SUPERWIDE,RES009.26,Egret Extra Wide Plank,Egret,Extra Wide Plank ,Douglas Fir,Nature ,2Ply Engineered,Tongue & Grooved & Ends Matched,Brushed,Naked Skin Lacquer Super Matt,Micro Bevel, UKTR Compliant
SUPERWIDE,RES009,Egret Super Wide Plank,Egret,Super Wide Plank ,Douglas Fir,Nature ,2Ply Engineered,Tongue & Grooved & Ends Matched,Brushed,Naked Skin Lacquer Super Matt,Micro Bevel, UKTR Compliant
SUPERWIDE,RES012.26,Ibis Extra Wide Plank,Ibis,Extra Wide Plank ,Douglas Fir,Nature,2Ply Engineered,Tongue & Grooved & Ends Matched,Brushed,Naked Skin Lacquer Super Matt,Micro Bevel, UKTR Compliant
SUPERWIDE,RESBL02,Linen Oversize Herringbone,Linen,Oversize Herringbone  ,European Oak,Nature ,2Ply Engineered,Grooved 3 Sides,Brushed,Burnished Hardwax Oil Matt,Micro Bevel, FSC® Mix Credit
SUPERWIDE,RES102,Linen Super Wide Plank ,Linen,Super Wide Plank,European Oak,Nature,2Ply Engineered,Tongue & Grooved & Ends Matched,Brushed,Burnished Hardwax Oil Matt,Micro Bevel,100% PEFC Certified
SUPERWIDE,RES010.26,Nimbus Extra Wide Plank,Nimbus,Extra Wide Plank ,American Black Walnut,Select,2Ply Engineered,Tongue & Grooved & Ends Matched,Smooth,Naked Skin Lacquer Super Matt,Micro Bevel, UKTR Compliant
SUPERWIDE,RES010,Nimbus Super Wide Plank,Nimbus,Super Wide Plank,American Black Walnut,Select,2Ply Engineered,Tongue & Grooved & Ends Matched,Smooth,Naked Skin Lacquer Super Matt,Micro Bevel, UKTR Compliant
SUPERWIDE,RESBL03,Pewter Oversize Herringbone,Pewter,Oversize Herringbone  ,European Oak,Nature ,2Ply Engineered,Grooved 3 Sides,Brushed,Burnished Hardwax Oil Satin,Micro Bevel, FSC® Mix Credit
SUPERWIDE,RES103,Pewter Super Wide Plank ,Pewter,Super Wide Plank,European Oak,Nature,2Ply Engineered,Tongue & Grooved & Ends Matched,Brushed,Burnished Hardwax Oil Satin,Micro Bevel,100% PEFC Certified
SUPERWIDE,RESBL05,Sable Oversize Herringbone,Sable,Oversize Herringbone  ,European Oak,Nature ,2Ply Engineered,Grooved 3 Sides,Brushed,"Double Fumed, Naked Skin Lacquer Satin",Micro Bevel, FSC® Mix Credit
SUPERWIDE,RES105,Sable Super Wide Plank ,Sable,Super Wide Plank,European Oak,Nature,2Ply Engineered,Tongue & Grooved & Ends Matched,Brushed,"Double Fumed, Naked Skin Lacquer Satin",Micro Bevel,FSC® 100%
SUPERWIDE,RESBL06,Sand Oversize Herringbone,Sand,Oversize Herringbone  ,European Oak,Nature ,2Ply Engineered,Grooved 3 Sides,Brushed,Naked Skin Lacquer Super Matt,Micro Bevel, FSC® Mix Credit
SUPERWIDE,RES106,Sand Super Wide Plank ,Sand,Super Wide Plank,European Oak,Nature,2Ply Engineered,Tongue & Grooved & Ends Matched,Brushed,Naked Skin Lacquer Super Matt,Micro Bevel,100% PEFC Certified
SUPERWIDE,RES011,Stratus Super Wide Plank,Stratus,Super Wide Plank ,American Black Walnut,Select,2Ply Engineered,Tongue & Grooved & Ends Matched,Smooth,Naked Skin Lacquer Super Matt,Micro Bevel, UKTR Compliant
SUPERWIDE,RESBL04,Truffle Oversize Herringbone,Truffle,Oversize Herringbone  ,European Oak,Nature ,2Ply Engineered,Grooved 3 Sides,Brushed,Burnished Hardwax Oil Satin,Micro Bevel, FSC® Mix Credit
SUPERWIDE,RES104,Truffle Super Wide Plank ,Truffle,Super Wide Plank,European Oak,Nature,2Ply Engineered,Tongue & Grooved & Ends Matched,Brushed,Burnished Hardwax Oil Satin,Micro Bevel,100% PEFC Certified
SUPERWIDE,RES001,Ebony Super Wide Plank (Select),Ebony,Super Wide Plank,European Oak,Select,2Ply Engineered,Tongue & Grooved & Ends Matched,Brushed,Burnished Hardwax Oil Satin,Micro Bevel, FSC® Mix Credit
SUPERWIDE,RES002,Linen Super Wide Plank (Select),Linen,Super Wide Plank,European Oak,Select,2Ply Engineered,Tongue & Grooved & Ends Matched,Brushed,Burnished Hardwax Oil Matt,Micro Bevel, FSC® Mix Credit
SUPERWIDE,RES003,Pewter Super Wide Plank (Select),Pewter,Super Wide Plank,European Oak,Select,2Ply Engineered,Tongue & Grooved & Ends Matched,Brushed,Burnished Hardwax Oil Satin,Micro Bevel, FSC® Mix Credit
SUPERWIDE,RES004,Truffle Super Wide Plank (Select),Truffle,Super Wide Plank,European Oak,Select,2Ply Engineered,Tongue & Grooved & Ends Matched,Brushed,Burnished Hardwax Oil Satin,Micro Bevel, FSC® Mix Credit
SUPERWIDE,RES005,Sable Super Wide Plank (Select),Sable,Super Wide Plank,European Oak,Select,2Ply Engineered,Tongue & Grooved & Ends Matched,Brushed,Naked Skin Lacquer Satin,Micro Bevel, FSC® Mix Credit
SUPERWIDE,RES006,Sand Super Wide Plank (Select),Sand,Super Wide Plank,European Oak,Select,2Ply Engineered,Tongue & Grooved & Ends Matched,Brushed,Naked Skin Lacquer Super Matt,Micro Bevel, FSC® Mix Credit
